nome;categoria;pasto_consigliato;kcal;proteine;lipidi;carboidrati;energia_kj;colesterolo;amido;zuccheri_solubili;alcol;fibra_totale;fibra_solubile;fibra_insolubile;saccarosio;glucosio;fruttosio;lattosio;galattosio;maltosio;maltotriosio;raffinosio;fluoro;sodio;magnesio;fosforo;cloro;potassio;calcio;cromo;manganese;ferro;nichel;rame;zinco;selenio;iodio;carotenoidi_totali;alfa_carotene;beta_carotene;criptoxantina;licopene;luteina;retinolo;zeaxantina;vitamina_a_equivalenti_retinolo;tiamina;riboflavina;niacina;acido_pantotenico;vitamina_b6;biotina;folati;vitamina_b12;vitamina_c;vitamina_d;vitamina_e;alfa_tocoferolo;beta_tocoferolo;gamma_tocoferolo;delta_tocoferolo;vitamina_k;acidi_grassi_saturi;rapporto_polinsaturi_saturi;alanina;cistina;acido_aspartico;acido_glutammico;fenilalanina;glicina;istidina;isoleucina;lisina;leucina;metionina;prolina;arginina;serina;treonina;valina;triptofano;tirosina;indice_chimico;aminoacido_limitante;acido_caffeico;acido_citrico;acido_fitico;acido_malico;apigenina;attivita_antiossidante;kaempferolo;fitosteroli;frutto-oligosaccaridi;miricetina;polifenoli;quercetina;violaxantina
Farro perlato, crudo;Cereali e derivati;cena,pranzo;353;14.6;2.4;69.3;1476;0.0;60.9;2.4;0;6.5;96;550;0.0;0;0.0;0;0.0;0.0;0.0;0;0;10;112;387;0;407.0;35.0;0;2;1.9;0;39.0;26.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;31.0;0;0;0;0;0;0;0;0;0;0;0;396.0;272.0;594.0;2869.0;500.0;419.0;246.0;402.0;304.0;736.0;201.0;947.0;487.0;448.0;299.0;528.0;131.0;280.0;68;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Frumento duro;Cereali e derivati;cena,pranzo;332;13.0;2.9;62.5;1389;0.0;53.9;3.2;0;9.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;160;330;0;494.0;30.0;0;0;3.6;0;40.0;29.0;3.8;0;0;0;0.0;0;0;0;0.0;0;2;43.0;15.0;570.0;0;0;0.0;40.0;0;0;0;0;0;0;0;0;0;0;2.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Frumento tenero;Cereali e derivati;cena,pranzo;336;12.3;2.6;65.2;1408;0.0;56.3;3.3;0;9.7;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;304;0;0.0;35.0;0;0;3.3;0;31.0;31.0;0;0;0;0;0.0;0;0;0;0.0;0;0;42.0;14.0;540.0;0;0;0.0;39.0;0;0;0;0;0;0;0;0;0;0;2.65;376.0;282.0;515.0;3144.0;466.0;401.0;229.0;365.0;293.0;693.0;160.0;1029.0;476.0;484.0;310.0;468.0;109.0;337.0;65;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Couscous, crudo;Cereali e derivati;cena,pranzo;361;13.7;1.1;76.5;1509;0.0;67.1;2.7;0;4.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;10;52;195;0;247.0;24.0;0;9;1.9;0;31.0;14.0;0;0;0;0;0.0;0;0;0;0.0;0;0;16.0;8.0;342.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Grano saraceno;Cereali e derivati;cena,pranzo;329;12.4;3.3;61.2;1376;0.0;0;0;0;10;172;835;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;0;330;0;450.0;110.0;0;0;4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;60.0;0.0;440.0;0;0;0.0;24.0;0;0;0;0;0;0;0;0;0;0;1.86;449.0;263.0;990.0;1854.0;468.0;601.0;246.0;385.0;587.0;675.0;243.0;301.0;967.0;478.0;370.0;536.0;0.0;286.0;114;Leucina;0;0;0;0;0;0;0;0;0;0;0;0;0
Mais;Cereali e derivati;cena,pranzo;357;9.2;3.8;75.1;1492;0.0;66;2.5;0;2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;35;120;256;0;287.0;15.0;0;0;2.4;0;31.0;221.0;15.5;0;0;0;0.0;0;0;0;0.0;0;62;36.0;20.0;150.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;2.88;783.0;222.0;651.0;1978.0;523.0;377.0;291.0;388.0;284.0;1270.0;211.0;957.0;467.0;516.0;372.0;524.0;68.0;382.0;63;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Mais, dolce, in scatola, sgocciolato;Cereali e derivati;cena,pranzo;105;3.4;1.3;20.5;439;0.0;13.8;5.3;0;1.4;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;270;0;79;0;220.0;4.0;0;0;0.5;0;5.0;45.0;0.7;0;0;0;0.0;0;0;0;0.0;0;24;25.0;18.0;86.0;0;0;0.0;0.0;0;7;0;0.5;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Polenta, cruda;Cereali e derivati;cena,pranzo;323;8.0;0.7;72.7;1353;0.0;62.5;0.6;0;6.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;15;74;0;34.0;7.0;0;0;0.4;0;6.0;18.0;0;0;0;0;0.0;0;0;0;0.0;0;11;24.0;7.0;185.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Polenta, cotta;Cereali e derivati;cena,pranzo;73;0.9;0.04;17.8;303;0.0;16;0.2;0;0.9;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;91;2;8;0;16.0;3.0;0;0;0.1;0;1.0;3.0;0;0;0;0;0.0;0;0;0;0.0;0;4;5.0;1.0;39.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Miglio;Cereali e derivati;cena,pranzo;343;11.8;3.9;64.9;1434;0.0;0;0;0;8.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;0;285;0;195.0;8.0;0;0;3;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;42.0;29.0;472.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1021.0;165.0;601.0;2164.0;503.0;232.0;189.0;388.0;165.0;1177.0;254.0;688.0;320.0;624.0;301.0;498.0;123.0;329.0;37;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
